Title,Date_Added,Age,Netflix,Hulu,Prime Video,Disney+,Original Network,Netflix Exclusive Regions,Original,Type,Genre,Rating
Srinivasa Kalyanam,-,-,0,0,1,0,-,-,False,movie,Drama,7.9
Srinivasa Kalyanam,-,-,0,0,1,0,-,-,False,movie,\N,-
Srinivasa Kalyanam,-,-,0,0,1,0,-,-,False,movie,"Drama,Family",6.0
Struggle: The Life and Lost Art of Szukalski,2018,18+,1,0,0,0,Netflix,Worldwide,True,movie,Documentary,8.0
Supervolcano,-,7+,1,0,0,0,-,-,False,-,-,-
Surga Yang Tak Dirindukan 2,2019,-,1,0,0,0,-,-,False,movie,Drama,7.2
The Burial of Kojo,2019,-,1,0,0,0,Netflix,Selected territories,True,-,-,-
The Consul's Son,2019,-,1,0,0,0,-,-,False,-,-,-
The Cursed Island,-,-,0,0,1,0,-,-,False,movie,"Adventure,Comedy,Documentary",-
The Dude Perfect Show,-,7+,0,1,0,0,-,-,False,tvSeries,"Comedy,Reality-TV",6.6
The Heavenly Kid,-,13+,0,0,1,0,-,-,False,movie,"Comedy,Fantasy,Romance",6.4
The Hooligan Wars,-,-,0,0,1,0,-,-,False,movie,Crime,3.6
The House at the End of Time,-,-,0,0,1,0,-,-,False,movie,"Drama,Horror,Mystery",-
The Imagemaker,-,-,0,0,1,0,-,-,False,movie,"Drama,Thriller",5.1
The Last Rescue,-,18+,0,0,1,0,-,-,False,movie,"Action,Drama,War",4.8
The Last Rescue,-,18+,0,0,1,0,-,-,False,movie,Thriller,-
The Legend of Michael Mishra,2019,-,1,0,0,0,-,-,False,movie,"Comedy,Drama",4.5
The Master of Kung Fu,-,18+,0,0,1,0,-,-,False,-,-,-
The Million Dollar Duck,-,all,0,0,0,1,-,-,False,movie,Documentary,7.9
The Million Dollar Duck,-,all,0,0,0,1,-,-,False,movie,"Comedy,Family,Sci-Fi",5.9
The Real Housewives of Orange County,-,16+,0,1,0,0,-,-,False,tvSeries,Reality-TV,4.1
The Secret Kingdom,-,7+,0,0,1,0,-,-,False,movie,"Drama,Fantasy",-
The Secret Kingdom,-,7+,0,0,1,0,-,-,False,movie,"Adventure,Romance,Thriller",5.7
